NODE,PREV,NEXT,NEXT_ALT
NULL,NULL,103E,
103E,NULL,117E,NULL
117E,103E,A634,NULL
A634,117E,AA42,76A2
AA42,A634,E415,NULL
76A2,A634,BCDF,NULL
E415,AA42,NULL,NULL
BCDF,76A2,NULL,NULL
